Sample	Method	NoiseLevel	Average_AE	Total_AE
TSP25_random_rep2_seed8_40_800.h5ad	QP	100	1.1167931249999998	89.34344999999999
TSP25_random_rep3_seed8_40_800.h5ad	QP	100	1.299088875	103.92711
TSP25_random_rep4_seed8_40_800.h5ad	QP	100	1.9874526250000006	158.99621000000005
TSP25_random_rep5_seed8_40_800.h5ad	QP	100	2.1336392500000003	170.69114000000002
TSP27_random_rep1_seed12_40_800.h5ad	QP	100	1.0657176250000002	85.25741000000002
TSP27_random_rep2_seed12_40_800.h5ad	QP	100	1.4233991250000004	113.87193000000003
TSP27_random_rep3_seed12_40_800.h5ad	QP	100	0.9124342500000001	72.99474000000001
TSP27_random_rep4_seed12_40_800.h5ad	QP	100	1.524369	121.94952
TSP27_random_rep5_seed12_40_800.h5ad	QP	100	1.997205	159.7764
TSP25_random_rep1_seed6_30_600.h5ad	QP	100	1.7753910000000008	142.03128000000007
TSP25_random_rep2_seed6_30_600.h5ad	QP	100	1.40906375	112.7251
TSP25_random_rep3_seed6_30_600.h5ad	QP	100	1.495644375	119.65154999999999
TSP25_random_rep4_seed6_30_600.h5ad	QP	100	1.327045625	106.16365
TSP25_random_rep5_seed6_30_600.h5ad	QP	100	1.8254251249999993	146.03400999999994
TSP25_random_rep1_seed5_50_1000.h5ad	QP	100	1.6790142500000005	134.32114000000004
TSP25_random_rep2_seed5_50_1000.h5ad	QP	100	0.9357568750000003	74.86055000000002
TSP25_random_rep3_seed5_50_1000.h5ad	QP	100	1.8053680000000003	144.42944000000003
TSP25_random_rep4_seed5_50_1000.h5ad	QP	100	1.8961066250000003	151.68853000000001
TSP25_random_rep5_seed5_50_1000.h5ad	QP	100	1.706524125	136.52193
TSP27_random_rep1_seed4_10_200.h5ad	QP	100	1.80604175	144.48334
TSP27_random_rep2_seed4_10_200.h5ad	QP	100	2.2526846249999997	180.21477
TSP27_random_rep3_seed4_10_200.h5ad	QP	100	2.0230773750000006	161.84619000000004
TSP27_random_rep4_seed4_10_200.h5ad	QP	100	1.7060080000000006	136.48064000000005
TSP27_random_rep5_seed4_10_200.h5ad	QP	100	1.2942136250000005	103.53709000000003
TSP27_random_rep1_seed13_10_200.h5ad	QP	100	1.335873625	106.86989000000001
TSP27_random_rep2_seed13_10_200.h5ad	QP	100	1.7325893750000005	138.60715000000005
TSP27_random_rep3_seed13_10_200.h5ad	QP	100	2.1211196249999995	169.68956999999997
TSP27_random_rep4_seed13_10_200.h5ad	QP	100	2.2081185000000003	176.64948
TSP27_random_rep5_seed13_10_200.h5ad	QP	100	1.747808875	139.82471
TSP27_random_rep1_seed7_40_800.h5ad	QP	100	2.1047782500000003	168.38226000000003
TSP27_random_rep2_seed7_40_800.h5ad	QP	100	1.5101582500000001	120.81266000000001
TSP27_random_rep3_seed7_40_800.h5ad	QP	100	1.196908	95.75264
TSP27_random_rep4_seed7_40_800.h5ad	QP	100	1.788917	143.11336
TSP27_random_rep5_seed7_40_800.h5ad	QP	100	1.4985726249999998	119.88580999999998
TSP21_random_rep1_seed12_50_1000.h5ad	QP	100	1.6057695000000003	128.46156000000002
TSP21_random_rep2_seed12_50_1000.h5ad	QP	100	1.415327375	113.22618999999999
TSP21_random_rep3_seed12_50_1000.h5ad	QP	100	1.4233578750000002	113.86863000000002
TSP21_random_rep4_seed12_50_1000.h5ad	QP	100	1.6648476249999997	133.18780999999998
TSP21_random_rep5_seed12_50_1000.h5ad	QP	100	1.6305401250000002	130.44321000000002
TSP21_random_rep1_seed9_20_400.h5ad	QP	100	1.7560164999999999	140.48131999999998
TSP21_random_rep2_seed9_20_400.h5ad	QP	100	1.8812484999999999	150.49988
TSP21_random_rep3_seed9_20_400.h5ad	QP	100	2.1783703750000023	174.26963000000018
TSP21_random_rep4_seed9_20_400.h5ad	QP	100	1.2074431250000004	96.59545000000003
TSP21_random_rep5_seed9_20_400.h5ad	QP	100	1.4297378749999998	114.37902999999999
TSP21_random_rep1_seed6_40_800.h5ad	QP	100	1.7528599999999996	140.22879999999998
TSP21_random_rep2_seed6_40_800.h5ad	QP	100	1.8103896250000004	144.83117000000004
TSP21_random_rep3_seed6_40_800.h5ad	QP	100	1.0907631249999998	87.26104999999998
TSP21_random_rep4_seed6_40_800.h5ad	QP	100	1.6464898749999999	131.71919
TSP21_random_rep5_seed6_40_800.h5ad	QP	100	1.3527661250000003	108.22129000000002
TSP27_random_rep1_seed7_30_600.h5ad	QP	100	1.693032375	135.44259
TSP27_random_rep2_seed7_30_600.h5ad	QP	100	1.3504725	108.03779999999999
TSP27_random_rep3_seed7_30_600.h5ad	QP	100	1.6653466250000002	133.22773
TSP27_random_rep4_seed7_30_600.h5ad	QP	100	1.5001277500000003	120.01022000000003
TSP27_random_rep5_seed7_30_600.h5ad	QP	100	1.2951601250000009	103.61281000000007
TSP27_random_rep1_seed13_30_600.h5ad	QP	100	2.130510374999999	170.44082999999995
