Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	Colon	Esophagus	FemaleReproductive	Fibroblasts	Heart	Kidney	Liver	Lung	Lymphocytes	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	SalivaryGland	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	Average	Method	Matrix	NoiseLevel	Sample
4e-05	0.00238	7.59545	0.00507	6.583779999999999	0.01085	0.0069	6.81995	3.67753	3.00594	0.01104	11.67371	3.1152799999999994	9.50281	1.27209	0.00091	12.93195	0.00045	1.57067	20.04318	0.64139	1.17534	0.00159	0.00279	0.00797	3.89444	2.9132	0.00514	3.445422857142858	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_806934_5
3e-05	0.00263	4.49878	0.01	5.6555	0.00303	0.00427	6.16494	3.42174	3.34621	0.0036	53.75043	2.57546	9.31551	2.8688	0.00176	16.21488	0.00113	2.9015	1.85265	0.3158	0.71282	0.00231	0.00205	0.01366	6.96662	19.39093	0.00095	4.999928214285714	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_525902_5
5e-05	0.00105	4.36532	0.00137	11.247999999999998	0.01487	0.00459	4.79006	0.57143	4.40625	0.08358	0.04294	15.55821	10.48621	1.47415	0.00855	8.77403	0.00032	2.39537	7.018479999999999	0.16042	0.4436	0.00126	1.82735	0.00071	2.91661	0.47226	0.16251	2.758198214285714	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_161263_4
3e-05	0.00378	6.35372	0.00546	0.00143	0.01012	0.00587	5.19751	5.29673	3.7503	0.00625	47.26379	2.00927	9.79262	1.99625	0.00126	14.33339	0.00183	0.13526	9.656959999999998	0.61317	0.88963	0.00166	0.00276	0.04616	5.16807	15.71043	0.00137	4.580538571428571	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_629038_4
3e-05	0.00235	4.01647	0.00376	20.85517	0.00537	0.00625	3.41232	0.8302	1.51746	0.01285	5.22206	5.163209999999999	6.61816	1.57512	0.00203	12.13069	0.00029	6.66746	6.02676	0.13652	0.44599	0.00165	0.01095	0.00153	5.29523	1.37467	0.02453	2.905681428571428	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_252083_5
5e-05	0.00123	3.46677	0.97783	7.76394	0.00813	0.00602	34.76453	6.05131	2.4865	0.00209	8.07535	2.18265	7.83942	6.48936	0.00112	15.40857	0.00035	1.38779	5.384550000000001	0.77375	4.36176	0.00137	0.00189	0.00172	4.66841	4.23459	0.00104	4.1550746428571435	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_856662_5
5e-05	0.00142	3.67312	0.00442	14.64733	0.00276	0.00435	4.3081000000000005	0.94853	3.05169	0.0392	13.03849	9.408209999999997	9.96957	2.04428	0.00322	11.60597	0.00035	4.68441	3.90925	0.17438	0.41846	0.00351	0.06529	0.0016	4.72052	3.82528	0.06904	3.2365285714285714	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_993842_5
0.00011	0.00124	4.04914	0.00705	0.0014	0.00504	0.00464	19.34965	5.93132	4.25448	0.0141	42.30183	4.22115	10.73138	4.86121	0.00123	14.04118	0.00156	0.10018	2.44304	0.84397	2.21431	0.00213	0.00323	0.0053	5.13175	16.10866	0.00118	4.879694999999999	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_975036_4
5e-05	0.001	3.32846	0.03436	24.343059999999998	0.00602	0.00459	3.46607	0.35307	0.67823	0.00132	4.86342	2.22297	4.58867	1.52393	0.00123	12.58567	0.00027	8.08083	3.78346	0.06898	0.43035	0.0023	0.00404	0.00092	5.91158	1.06942	0.00375	2.7627864285714288	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_419373_5
5e-05	0.00188	5.38643	0.24541	10.21788	0.00207	0.00651	13.53297	4.45537	2.0292	0.00081	26.44086	0.03052	7.30542	3.12263	0.0008	16.23237	0.00054	3.52366	9.56577	0.54367	1.75778	0.00263	0.00207	0.02925	6.05109	9.02663	0.00073	4.268392857142858	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_260947_4
4e-05	0.00122	2.97129	0.00355	7.494960000000001	0.00842	0.00301	6.41813	0.95192	4.89696	0.07582	23.79819	13.419460000000004	12.85421	2.75867	0.00654	10.92009	0.00051	2.44812	0.06623	0.22762	0.50024	0.00156	0.48459	0.00103	4.15428	7.70834	0.08656	3.652198571428572	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_618024_4
3e-05	0.00109	2.56152	2.24114	3.62432	0.00954	0.0069	44.8244	7.61778	2.3681	0.00041	10.83717	0.00658	6.96344	8.15262	0.00064	15.45266	0.00056	0.37547	3.186	0.96473	5.84746	0.00247	0.0021	0.00732	4.28586	5.6028	0.00068	4.462278214285715	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_71674_4
2e-05	0.00187	5.06166	0.00168	0.14942	0.21586	0.00438	5.09202	1.13732	6.53217	0.13546	9.84857	18.73820000000001	13.57707	0.97191	0.01137	6.92638	0.00043	0.07989	8.604620000000002	0.43667	0.44036	0.003	2.6822	0.00143	1.67763	2.04501	0.19023	3.0202439285714284	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_293004_4
7e-05	0.00135	3.1615	0.7431	3.24729	0.01003	0.00431	37.57459	6.54076	3.15673	0.00389	16.82537	2.65213	8.86331	7.24681	0.00103	15.03653	0.00044	0.49227	2.82065	0.93145	4.75442	0.00326	0.0032	0.00168	4.46251	7.70051	0.00096	4.508576785714285	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_255801_5
6e-05	0.00207	5.21856	0.00863	12.454829999999998	0.02243	0.00818	6.0533	1.43511	3.27104	0.0373	6.71727	9.15487	10.25656	1.90753	0.00342	11.5709	0.00033	3.37534	10.057259999999998	0.34074	0.70806	0.0025	0.17353	0.00142	4.0651	1.97033	0.05846	3.1741117857142855	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_372507_5
4e-05	0.00173	6.65121	0.00574	11.23573	0.01403	0.01014	0.35739	1.53185	3.1214	0.03331	8.87163	7.854430000000001	9.92273	0.54914	0.00199	11.39797	0.00034	2.98167	15.40144	0.3045	0.26724	0.00163	0.23102	0.00194	3.87957	2.01908	0.0776	3.097374642857144	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_64556_4
3e-05	0.00139	5.77605	0.05349	8.2942	0.00662	0.00566	12.43626	4.7359	2.25935	0.0005	30.6306	0.0334	7.71745	3.01904	0.00136	16.24828	0.00057	2.91675	10.05601	0.62442	1.65892	0.0018	0.00215	0.04234	6.01056	10.30027	0.00081	4.386934999999999	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_201896_4
