Sample	Method	RemovedGenes	Average_AE	Total_AE
TSP25_random_rep1_seed9_20_400.h5ad	ReDeconv	0	1.0130211594202896	69.89845999999999
TSP25_random_rep2_seed9_20_400.h5ad	ReDeconv	0	1.0598808695652173	73.13177999999999
TSP25_random_rep3_seed9_20_400.h5ad	ReDeconv	0	0.910726231884058	62.84011
TSP25_random_rep4_seed9_20_400.h5ad	ReDeconv	0	1.2781298550724634	88.19095999999998
TSP25_random_rep5_seed9_20_400.h5ad	ReDeconv	0	1.236808260869565	85.33976999999999
TSP27_random_rep1_seed8_20_400.h5ad	ReDeconv	0	1.4280328985507245	98.53426999999999
TSP27_random_rep2_seed8_20_400.h5ad	ReDeconv	0	1.02904884057971	71.00437
TSP27_random_rep3_seed8_20_400.h5ad	ReDeconv	0	1.0130897101449277	69.90319000000001
TSP27_random_rep4_seed8_20_400.h5ad	ReDeconv	0	0.9247155072463765	63.80536999999998
TSP27_random_rep5_seed8_20_400.h5ad	ReDeconv	0	1.2297300000000002	84.85137000000002
TSP21_random_rep1_seed4_10_200.h5ad	ReDeconv	0	0.8044940579710147	55.51009000000001
TSP21_random_rep2_seed4_10_200.h5ad	ReDeconv	0	1.0750655072463766	74.17951999999998
TSP21_random_rep3_seed4_10_200.h5ad	ReDeconv	0	0.8722072463768116	60.1823
TSP21_random_rep4_seed4_10_200.h5ad	ReDeconv	0	0.9529792753623191	65.75557000000002
TSP21_random_rep5_seed4_10_200.h5ad	ReDeconv	0	1.3337889855072464	92.03144
TSP27_random_rep1_seed12_20_400.h5ad	ReDeconv	0	1.274272463768116	87.9248
TSP27_random_rep2_seed12_20_400.h5ad	ReDeconv	0	0.9580049275362315	66.10233999999997
TSP27_random_rep3_seed12_20_400.h5ad	ReDeconv	0	1.4438672463768119	99.62684000000002
TSP27_random_rep4_seed12_20_400.h5ad	ReDeconv	0	0.7337569565217392	50.62923000000001
TSP27_random_rep5_seed12_20_400.h5ad	ReDeconv	0	0.7528428985507246	51.94616
TSP21_random_rep1_seed10_40_800.h5ad	ReDeconv	0	0.9305572463768116	64.20845
TSP21_random_rep2_seed10_40_800.h5ad	ReDeconv	0	1.00825347826087	69.56949000000003
TSP21_random_rep3_seed10_40_800.h5ad	ReDeconv	0	1.1178943478260868	77.13470999999998
TSP21_random_rep4_seed10_40_800.h5ad	ReDeconv	0	1.2348013043478268	85.20129000000004
TSP21_random_rep5_seed10_40_800.h5ad	ReDeconv	0	1.327662608695652	91.60871999999999
TSP27_random_rep1_seed6_10_200.h5ad	ReDeconv	0	1.0623017391304348	73.29882
TSP27_random_rep2_seed6_10_200.h5ad	ReDeconv	0	1.548501884057971	106.84662999999999
TSP27_random_rep3_seed6_10_200.h5ad	ReDeconv	0	1.3424204347826083	92.62700999999997
TSP27_random_rep4_seed6_10_200.h5ad	ReDeconv	0	1.5507447826086955	107.00138999999999
TSP27_random_rep5_seed6_10_200.h5ad	ReDeconv	0	1.2665301449275361	87.39057999999999
TSP21_random_rep1_seed6_20_400.h5ad	ReDeconv	0	0.8842918840579708	61.016139999999986
TSP21_random_rep2_seed6_20_400.h5ad	ReDeconv	0	1.4980811594202903	103.36760000000002
TSP21_random_rep3_seed6_20_400.h5ad	ReDeconv	0	0.9937114492753624	68.56609
TSP21_random_rep4_seed6_20_400.h5ad	ReDeconv	0	1.1725072463768118	80.90300000000002
TSP21_random_rep5_seed6_20_400.h5ad	ReDeconv	0	1.1367894202898552	78.43847000000001
TSP25_random_rep1_seed3_20_400.h5ad	ReDeconv	0	1.0729431884057965	74.03307999999996
TSP25_random_rep2_seed3_20_400.h5ad	ReDeconv	0	0.9965146376811596	68.75951
TSP25_random_rep3_seed3_20_400.h5ad	ReDeconv	0	1.334906666666667	92.10856000000001
TSP25_random_rep4_seed3_20_400.h5ad	ReDeconv	0	0.9182826086956521	63.3615
TSP25_random_rep5_seed3_20_400.h5ad	ReDeconv	0	0.9070381159420292	62.585630000000016
TSP25_random_rep1_seed8_40_800.h5ad	ReDeconv	0	1.4681684057971012	101.30361999999998
TSP25_random_rep2_seed8_40_800.h5ad	ReDeconv	0	0.9117133333333333	62.90821999999999
TSP25_random_rep3_seed8_40_800.h5ad	ReDeconv	0	1.1090226086956527	76.52256000000004
TSP25_random_rep4_seed8_40_800.h5ad	ReDeconv	0	1.2778266666666664	88.17003999999999
TSP25_random_rep5_seed8_40_800.h5ad	ReDeconv	0	1.2394075362318833	85.51911999999994
TSP27_random_rep1_seed12_40_800.h5ad	ReDeconv	0	0.8911456521739133	61.48905000000001
TSP27_random_rep2_seed12_40_800.h5ad	ReDeconv	0	1.0527240579710149	72.63796000000002
TSP27_random_rep3_seed12_40_800.h5ad	ReDeconv	0	1.0413242028985503	71.85136999999997
TSP27_random_rep4_seed12_40_800.h5ad	ReDeconv	0	1.4428891304347826	99.55935
TSP27_random_rep5_seed12_40_800.h5ad	ReDeconv	0	1.638945652173913	113.08725
TSP25_random_rep1_seed6_30_600.h5ad	ReDeconv	0	0.840366231884058	57.98527
TSP25_random_rep2_seed6_30_600.h5ad	ReDeconv	0	1.1670108695652173	80.52374999999999
TSP25_random_rep3_seed6_30_600.h5ad	ReDeconv	0	1.107231449275362	76.39896999999999
TSP25_random_rep4_seed6_30_600.h5ad	ReDeconv	0	0.7933123188405795	54.73854999999999
TSP25_random_rep5_seed6_30_600.h5ad	ReDeconv	0	1.066194347826087	73.56741
TSP25_random_rep1_seed5_50_1000.h5ad	ReDeconv	0	1.430458695652174	98.70165000000001
TSP25_random_rep2_seed5_50_1000.h5ad	ReDeconv	0	0.8883931884057972	61.299130000000005
TSP25_random_rep3_seed5_50_1000.h5ad	ReDeconv	0	0.9799594202898548	67.61719999999998
