Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	Colon	Esophagus	FemaleReproductive	Fibroblasts	Heart	Kidney	Liver	Lung	Lymphocytes	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	SalivaryGland	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	Average	Method	Matrix	GeneRemoval	Sample
0.0	0.02354	2.22077	0.0	0.0	8.702	7.20764	4.83985	10.58093	6.27837	0.02256	34.172	15.42537	12.6354	0.0	0.00375	1.40719	0.0	0.0	4.000509999999999	0.00228	0.0	7.43704	1.66005	0.00357	0.0	0.01167	0.24095	4.174122857142857	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_324232_4
0.0	0.01989	1.97894	0.0	10.37245	7.4592	1.83785	14.78062	13.0954	4.93334	0.0	0.0	14.255879999999998	12.05474	0.11249	0.00379	1.83602	0.0	0.0	11.2891	0.0009	0.80317	5.48963	0.87263	0.00159	0.0	0.01597	0.18248	3.621288571428571	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_943590_4
0.0	0.02078	2.76262	0.0	5.02705	10.98742	3.36325	8.33287	27.99996	1.20748	0.0	46.99147	2.36046	12.30561	0.0	0.03521	1.74896	0.0	0.00191	4.29561	0.0	0.25048	6.27302	0.0	0.0	0.0	0.03136	0.0194	4.7862471428571425	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_819011_5
0.0	0.0	2.9597	0.0	7.374	5.10982	2.5711	14.86967	19.59314	0.47678	0.0	18.0	0.0	9.29596	0.0	0.01145	3.99993	0.0	6e-05	10.353009999999998	0.0	2.1839	4.35329	0.0	0.0	0.0	0.04154	0.0	3.6140482142857135	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_907604_4
0.0	0.00393	1.02059	0.0	15.503059999999998	9.45414	3.62188	50.402150000000006	27.0757	1.95255	0.0	5.59506	2.4378800000000003	10.86121	1.26274	0.04821	3.40361	0.0	0.0	1.3588500000000003	0.0	8.61723	5.22273	0.0	0.0	0.0	0.02776	0.00701	5.281296071428573	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_26990_5
0.0	0.01548	1.55639	0.0	0.0	10.70415	5.04419	16.372049999999998	8.6663	6.14973	0.033	17.73582	16.477829999999997	12.93275	0.13019	0.0	2.10288	0.0	0.0	5.5032700000000006	0.00176	0.50454	6.76953	1.23264	0.00281	0.0	0.00955	0.23308	4.006355000000001	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_280766_4
0.0	0.00569	0.6511	0.0	7.764	10.9457	4.6635	38.13549	14.62753	5.73446	0.0	13.451	6.778590000000001	13.55948	0.83406	0.02828	3.54021	0.0	0.00115	0.63819	0.00049	3.44184	6.47804	0.77675	0.00294	0.0	0.0036	0.19607	4.7235057142857135	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_901300_4
0.0	0.0	2.87244	0.0	5.386	7.4319	3.8602	5.26022	10.49423	1.86785	0.00189	5.458	8.843430000000001	7.79826	0.0	0.0	2.71824	0.0	0.0	19.24993000000001	0.0	0.56919	6.48868	0.0	0.0	0.0	0.02084	0.07386	3.1569700000000007	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_321015_5
0.0	0.02189	2.03938	0.0	12.20379	9.50948	3.16018	8.1274	16.4964	3.39733	0.0	9.008	11.10469	11.59843	0.0	0.0	1.78368	0.0	0.0	14.574649999999998	0.0	0.1031	6.76878	0.0	0.0	0.0	0.02368	0.1162	3.9298949999999997	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_345207_5
0.0	0.0	3.08393	0.0	5.616	5.15487	5.83495	5.12429	12.23432	0.7778	0.0	5.005	3.18954	6.64969	0.0	0.0	2.67463	0.0	0.0	23.75415	0.0	0.81949	5.40702	0.0	0.0	0.0	0.02531	0.02697	3.049212857142858	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_713526_5
0.00202	0.01026	2.11096	0.0	26.8363	7.15649	9.52439	4.67791	36.52302	1.45718	0.0	48.544	1.3622499999999995	16.78837	0.0	0.0526	2.525	0.0	0.0024	1.7228499999999998	0.0	0.0	6.9525	0.0	0.0	0.0	0.02928	0.01085	5.9388796428571435	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_188241_5
0.00143	0.02942	2.37251	0.0	12.77618	2.55352	3.58421	4.49153	17.16221	1.90644	0.0	5.12605	6.350369999999999	10.68954	0.0	0.0	2.21578	0.0	0.0	17.98292	0.0	0.07752	6.05961	0.0	0.0	0.0	0.03268	0.04361	3.3376975000000004	CIBERSORTx	2Median_300_500	top_0	T00_v2_FFPE-2_764934_5
