	Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	FemaleReproductive	Fibroblasts	Lymphocytes	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	Heart	Kidney	Liver	Lung	SalivaryGland	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	DeconvolutionTool
cfrna_kd_27	5.11	0.0	0.0	0.0	4.64	0.0	0.0	0.0	39.16	0.66	0.0	0.0	0.14	0.74	1.18	0.03	2.49	0.0	0.2	4.04	0.0	0.0	0.0	0.06	3.49	14.98	14.78	1.79	0.0	6.5	MuSiC
cfrna_kd_38	0.0	0.0	0.19	0.0	0.0	0.0	6.16	0.0	83.5	0.0	0.0	0.0	0.74	0.0	0.0	0.03	0.02	0.02	0.0	0.41	0.0	0.0	0.0	0.01	0.0	0.37	0.0	4.07	0.01	4.49	MuSiC
cfrna_kd_15	0.0	0.0	9.56	0.0	0.0	0.0	0.0	0.0	66.71	0.0	0.0	0.0	1.21	0.0	0.0	0.0	1.82	0.0	0.0	2.52	0.01	0.0	0.0	0.09	0.0	4.07	0.0	6.84	0.0	7.16	MuSiC
cfrna_kd_13	0.0	0.0	6.74	0.0	0.0	0.0	0.0	0.0	59.42	0.0	0.0	0.0	2.37	0.0	0.0	0.01	4.85	0.0	0.02	5.08	0.02	0.05	0.0	0.0	0.0	12.3	0.0	4.34	0.01	4.8	MuSiC
cfrna_kd_98	0.0	0.0	1.49	0.0	0.0	0.0	7.18	0.0	76.71	0.0	0.0	0.0	0.41	0.0	0.0	0.38	2.89	0.0	0.0	0.34	0.02	0.01	0.0	0.07	0.0	0.98	0.0	3.29	0.0	6.23	MuSiC
cfrna_kd_19	0.0	0.0	18.41	0.0	0.0	0.0	0.0	0.0	51.85	0.1	0.0	0.0	1.64	0.0	0.0	0.0	10.35	0.0	0.0	1.84	0.01	0.01	0.0	0.0	0.0	4.81	0.0	7.59	0.0	3.37	MuSiC
cfrna_kd_37	0.0	0.0	7.52	0.0	0.63	3.57	5.61	0.0	62.46	2.79	0.0	0.0	2.45	0.0	0.0	0.07	5.42	0.0	0.0	0.76	0.0	0.0	0.0	0.05	0.0	5.01	0.0	0.72	0.0	2.94	MuSiC
prevail_cu_cfrna_393	0.14	0.0	2.06	0.0	0.04	0.0	0.0	0.0	39.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.24	0.03	0.01	1.42	0.0	0.0	0.0	0.01	0.0	1.64	0.0	1.82	0.0	35.26	MuSiC
prevail_cu_cfrna_375	0.0	0.0	0.4	0.0	0.0	0.0	10.64	0.0	60.63	0.0	0.0	0.0	0.89	0.0	0.0	0.0	1.83	0.0	0.0	3.84	0.0	0.0	0.0	0.13	0.0	12.23	0.0	3.83	0.0	5.59	MuSiC
prevail_cu_cfrna_374	0.0	0.0	2.13	0.0	0.0	0.0	8.24	0.0	52.68	0.0	0.0	0.0	0.89	0.0	0.0	0.0	3.96	0.0	0.01	4.17	0.0	0.04	0.0	0.02	0.0	4.35	0.0	1.48	0.0	22.02	MuSiC
prevail_cu_cfrna_386	7.3	0.0	7.39	0.0	5.39	9.43	0.0	0.0	56.46	1.16	0.0	0.0	0.49	0.0	0.0	0.02	1.11	0.0	0.05	0.0	0.0	0.0	0.0	0.1	0.0	2.04	0.19	1.65	0.0	7.23	MuSiC
prevail_cu_cfrna_381	0.0	0.0	12.37	0.0	0.0	0.0	0.0	0.0	56.61	0.0	0.0	0.0	0.45	0.0	0.0	0.0	7.96	0.0	0.0	6.55	0.0	0.0	0.0	0.09	0.0	0.95	0.0	4.41	0.0	10.62	MuSiC
prevail_cu_cfrna_252	0.0	0.0	3.26	0.0	0.0	0.0	0.0	0.0	21.79	0.0	0.0	0.0	2.74	0.0	0.0	0.09	18.28	0.0	0.83	6.39	0.03	0.0	0.0	0.01	0.0	1.25	0.0	14.22	0.0	31.13	MuSiC
prevail_cu_cfrna_287	0.07	0.0	13.24	0.0	0.0	0.0	0.0	0.0	60.53	0.0	0.0	0.0	0.17	0.0	0.0	0.27	2.84	0.0	0.05	3.22	0.0	0.09	0.0	0.15	0.0	6.37	0.0	9.29	0.0	3.71	MuSiC
prevail_cu_cfrna_284	8.86	0.0	0.0	0.0	28.3	0.0	0.0	0.0	15.17	5.22	0.0	0.0	0.81	0.05	11.53	0.9	7.57	0.05	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.09	16.93	0.0	3.57	MuSiC
prevail_cu_cfrna_286	5.55	0.0	0.0	0.0	27.84	0.0	0.0	0.0	21.21	13.59	0.0	0.0	0.05	4.78	8.27	0.12	0.1	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.35	0.94	2.65	11.44	0.0	2.98	MuSiC
prevail_cu_cfrna_145	0.0	0.0	0.82	0.0	0.0	1.0	0.0	0.0	58.26	0.0	0.0	0.0	1.7	0.0	0.0	0.0	13.33	0.0	0.07	3.17	0.0	0.0	0.0	0.04	0.0	11.73	0.0	8.35	0.0	1.53	MuSiC
prevail_cu_cfrna_109	6.07	0.05	0.0	0.0	26.85	0.0	0.0	0.0	20.33	24.06	0.0	0.0	0.0	0.08	15.44	0.0	0.11	0.0	0.12	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	2.71	0.0	4.17	MuSiC
prevail_cu_cfrna_187	0.01	0.0	0.0	0.0	26.89	0.0	0.0	0.0	30.57	3.53	0.0	7.98	0.09	0.08	5.2	0.07	10.65	0.0	0.22	0.0	0.01	0.0	0.0	0.0	0.0	0.87	0.0	9.05	0.0	4.77	MuSiC
prevail_cu_cfrna_170	0.0	0.05	0.01	0.0	42.41	0.0	0.0	0.0	12.88	0.0	0.1	0.0	0.88	31.03	7.62	0.11	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	3.27	0.0	1.1	MuSiC
prevail_cu_cfrna_152	2.94	0.0	0.0	0.0	35.78	0.0	0.0	0.0	16.12	0.61	0.01	2.84	0.01	14.99	13.05	0.06	2.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	2.96	0.01	5.2	0.0	2.34	MuSiC
prevail_cu_cfrna_171	0.0	0.0	8.29	0.0	0.0	0.0	0.66	0.0	49.89	0.0	0.0	0.0	1.33	0.0	0.0	0.0	11.39	0.0	0.0	3.42	0.0	0.0	0.0	0.12	0.0	0.0	0.0	10.47	0.0	14.43	MuSiC
