	Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	FemaleReproductive	Fibroblasts	Lymphocytes	ColonSigmoid	ColonTransverse	Esophagus	EsophagusMucosa	Heart	Kidney	Liver	Lung	SalivaryGland	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	DeconvolutionTool
SRR13991001	0.0	0.0	0.61	0.0	0.0	0.0	13.12	0.0	56.93	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.02	0.0	0.0	0.32	0.0	0.02	0.0	0.55	0.0	4.56	0.0	0.0	0.01	23.42	MuSiC
SRR13990996	0.0	0.0	0.46	0.0	0.0	0.0	13.56	0.0	55.73	0.0	0.0	0.0	2.57	0.0	0.0	0.0	0.15	0.0	0.0	0.35	0.03	0.0	0.0	0.21	0.0	0.06	0.0	0.01	0.0	26.88	MuSiC
SRR13991000	0.0	0.0	0.28	0.0	0.0	0.0	17.61	0.0	54.96	0.0	0.0	0.0	1.3	0.0	0.0	0.0	0.04	0.0	0.0	0.03	0.01	0.0	0.0	0.44	0.0	2.33	0.0	0.0	0.0	23.0	MuSiC
SRR13990980	0.0	0.0	0.0	6.28	11.56	1.73	0.0	0.07	25.85	0.0	0.0	0.28	0.06	0.2	25.22	0.02	0.32	0.0	0.06	0.0	0.0	0.0	0.0	0.25	0.0	16.11	0.04	0.45	0.0	11.5	CIBERSORTx
SRR13990981	0.0	0.0	0.0	5.89	11.31	2.06	0.0	0.07	23.32	0.0	0.0	0.71	0.05	0.15	25.45	0.04	0.38	0.0	0.02	0.0	0.0	0.0	0.0	0.2	0.0	17.21	0.04	0.46	0.0	12.63	CIBERSORTx
SRR13990884	0.0	0.12	0.0	3.79	7.34	6.56	0.0	0.0	13.61	0.0	2.13	0.0	0.05	0.17	20.95	0.0	0.27	0.0	0.04	0.0	0.03	0.0	0.0	0.22	0.0	0.0	0.03	1.87	0.0	42.82	CIBERSORTx
SRR13990885	0.0	0.0	0.0	5.21	12.18	3.38	0.0	0.06	30.19	0.0	0.0	0.2	0.06	0.21	27.49	0.0	0.34	0.0	0.06	0.0	0.0	0.0	0.0	0.14	0.0	10.28	0.04	1.17	0.0	8.98	CIBERSORTx
SRR13990883	0.0	0.16	0.0	6.8	14.98	2.88	0.0	0.05	24.94	0.0	0.77	0.27	0.06	0.25	28.49	0.0	0.12	0.0	0.06	0.0	0.0	0.0	0.0	0.23	0.0	6.46	0.04	1.19	0.0	12.25	CIBERSORTx
SRR13990805	0.0	0.02	0.0	1.19	3.3	6.14	0.0	0.0	38.35	0.68	0.0	0.03	0.0	0.04	2.79	1.46	3.46	0.0	0.0	0.19	0.0	0.04	0.0	0.25	0.0	0.62	0.0	0.39	0.37	40.68	CIBERSORTx
SRR13991098	0.0	0.19	0.0	2.58	16.57	5.7	0.0	0.09	16.2	0.0	2.41	0.0	0.04	0.25	33.6	0.01	0.0	0.0	0.07	0.0	0.03	0.0	0.0	0.16	0.0	0.0	0.05	2.13	0.0	19.91	CIBERSORTx
SRR13990882	0.65	0.16	0.33	2.36	7.14	4.07	0.0	0.03	16.83	0.0	2.59	0.0	0.04	0.15	20.51	0.45	0.23	0.0	0.03	0.0	0.02	0.0	0.34	0.31	0.0	0.0	0.03	1.11	0.0	42.61	CIBERSORTx
SRR13991103	0.0	0.12	0.0	0.91	8.99	6.12	0.0	0.0	19.35	0.54	1.43	1.03	0.05	0.18	19.81	0.0	0.26	0.0	0.04	0.09	0.01	0.0	0.0	0.13	0.0	0.0	0.03	1.42	0.0	39.5	CIBERSORTx
SRR13991105	1.13	0.14	0.0	4.78	11.1	3.07	0.0	0.0	24.36	0.0	2.66	0.38	0.05	0.15	16.77	0.9	0.25	0.0	0.05	0.0	0.0	0.0	0.34	0.27	0.0	0.0	0.03	1.36	0.0	32.2	CIBERSORTx
SRR13991097	0.0	0.07	0.0	4.4	17.17	2.6	0.0	0.06	17.09	0.0	2.47	0.0	0.08	0.29	33.41	0.07	0.0	0.0	0.07	0.0	0.04	0.0	0.0	0.12	0.0	0.0	0.05	1.43	0.0	20.59	CIBERSORTx
SRR13991099	0.0	0.03	0.0	1.23	7.72	3.75	0.0	0.0	23.48	0.0	0.0	1.43	0.01	0.09	15.16	0.18	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.27	2.21	0.01	0.71	0.0	43.2	CIBERSORTx
SRR13990973	0.09	0.01	0.0	1.42	10.94	0.52	0.0	0.0	33.99	0.0	0.0	0.05	0.01	0.0	1.11	0.05	3.93	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	28.53	0.0	0.03	0.0	19.29	CIBERSORTx
SRR13991006	0.0	0.15	0.0	4.39	12.19	1.69	0.0	0.05	29.59	0.0	0.0	0.87	0.05	0.19	16.5	0.12	0.3	0.0	0.05	0.0	0.0	0.0	0.0	0.67	1.0	13.39	0.04	0.41	0.0	18.36	CIBERSORTx
SRR13991101	0.0	0.1	0.0	4.48	8.14	2.73	0.0	0.01	21.23	0.0	1.51	0.0	0.04	0.12	19.75	0.0	0.49	0.0	0.03	0.0	0.0	0.0	0.21	0.35	0.0	1.4	0.03	1.1	0.0	38.27	CIBERSORTx
SRR13991005	0.0	0.05	0.0	4.99	10.38	3.85	0.0	0.0	22.03	0.0	0.0	1.08	0.04	0.1	19.51	0.0	0.97	0.0	0.08	0.0	0.0	0.0	0.0	0.11	0.0	11.22	0.03	0.39	0.0	25.16	CIBERSORTx
SRR13991007	0.0	0.13	0.0	4.27	10.91	1.79	0.0	0.01	31.12	0.0	0.0	0.36	0.05	0.19	18.8	0.21	0.28	0.0	0.08	0.28	0.0	0.0	0.0	0.61	0.0	11.66	0.04	0.4	0.0	18.8	CIBERSORTx
SRR13990808	0.0	0.0	0.0	4.17	11.08	1.7	0.0	0.04	23.88	0.0	0.0	0.81	0.05	0.09	22.84	0.15	0.3	0.0	0.06	0.0	0.0	0.0	0.0	0.13	0.0	10.61	0.04	0.93	0.0	23.12	CIBERSORTx
SRR13990971	0.45	0.17	0.0	2.35	9.36	2.9	0.0	0.07	23.9	0.26	1.06	0.0	0.05	0.2	24.03	0.25	0.28	0.0	0.04	0.0	0.0	0.0	0.0	0.34	0.0	5.25	0.05	1.2	0.0	27.8	CIBERSORTx
SRR13991102	0.0	0.11	0.0	4.77	8.91	2.64	0.0	0.01	18.88	0.0	1.23	0.0	0.04	0.15	21.08	0.0	0.24	0.0	0.04	0.04	0.0	0.0	0.0	0.2	0.0	0.0	0.03	1.06	0.0	40.57	CIBERSORTx
SRR13990809	0.0	0.0	0.0	6.33	13.43	1.51	0.0	0.07	17.96	0.0	0.0	0.42	0.06	0.19	31.23	0.0	0.33	0.0	0.06	0.0	0.0	0.0	0.0	0.15	0.0	7.54	0.04	0.81	0.0	19.87	CIBERSORTx
SRR13991008	0.0	0.02	0.0	1.49	0.24	3.66	0.0	0.0	31.28	0.21	0.0	0.0	0.0	0.0	0.31	0.15	2.53	0.0	0.02	0.01	0.0	0.0	0.0	0.26	0.63	31.04	0.0	0.06	0.0	28.08	CIBERSORTx
SRR13991104	0.0	0.17	0.0	3.23	13.87	4.5	0.0	0.17	11.43	0.0	3.2	0.54	0.0	0.26	29.01	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.16	0.0	0.0	0.05	1.26	0.0	32.12	CIBERSORTx
SRR13990972	0.0	0.11	0.0	5.84	8.21	4.47	0.0	0.2	22.21	0.0	1.05	0.1	0.04	0.15	21.04	0.11	0.24	0.0	0.06	0.0	0.0	0.0	0.0	0.1	0.0	2.47	0.03	1.01	0.0	32.56	CIBERSORTx
SRR13990983	0.0	0.15	0.0	3.02	13.62	2.89	0.0	0.08	13.57	0.0	1.54	0.11	0.0	0.19	27.83	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.29	0.0	0.0	0.05	1.88	0.0	34.76	CIBERSORTx
SRR13990675	0.0	0.1	0.0	3.2	5.1	7.22	0.78	0.0	37.6	0.0	0.57	0.28	0.0	0.0	3.79	0.15	1.21	0.02	0.0	0.0	0.0	0.34	0.01	0.48	0.0	9.94	0.0	0.12	0.02	29.08	CIBERSORTx
SRR13990806	0.0	0.13	0.0	4.43	8.94	4.27	0.0	0.06	22.04	0.0	0.0	0.47	0.05	0.19	21.88	0.0	0.27	0.0	0.04	0.0	0.0	0.0	0.0	0.18	0.0	3.22	0.03	0.94	0.0	32.87	CIBERSORTx
SRR13990974	0.0	0.0	0.0	4.43	11.99	2.34	0.0	0.08	22.08	0.0	0.0	1.09	0.06	0.22	29.56	0.15	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	13.4	0.05	0.5	0.0	13.52	CIBERSORTx
